Rank,Encoding,Word Length,Word,Language Score
1,35974,17, responsibilities,0.7142826464627748
2,56858,17, particulièrement,0.9999968658066416
3,96123,17, caractéristiques,0.999996724655492
4,96772,17, entrepreneurship,0.9999955494806555
5,142886,17, professionnelles,0.7142842215194833
6,157474,17, unconstitutional,0.8571412358278354
7,160774,17, Entrepreneurship,0.8571387445069988
8,22499,16, recommendations,0.9999962493489605
9,63700,16, representations,0.8571387757050464
10,87321,16, implementations,0.999995669176781
11,92880,16, entrepreneurial,0.8571402222735782
12,99346,16, supplémentaires,0.9999955684748336
13,106004,16, electromagnetic,0.9999948564061913
14,111283,16, fonctionnalités,0.9999982903745143
15,118403,16, Recommendations,0.9999932824056775
16,123202,16, automatiquement,0.999997521783818
17,130882,16, malheureusement,0.9999936460548908
18,141323,16, essentiellement,0.9999961500381168
19,143279,16, supplementation,0.8571393678474911
20,146439,16, suficientemente,0.5714269037852584
21,148066,16, transplantation,0.9999925164274478
22,172876,16, complémentaires,0.9999972187866556
23,177924,16, progressivement,0.8578540264575056
24,183931,16, dissatisfaction,0.9999953319353608
25,191738,16, confidentialité,0.7142818246744753
26,197371,16, responsabilités,0.9999951139626877
27,13847,15, implementation,0.9999957888252136
28,23670,15, transportation,0.9999951909349438
29,24296,15, communications,0.8571388642001057
30,35005,15, recommendation,0.8571395542030834
31,39248,15, Communications,0.7293689731088047
32,44330,15,@implementation,0.9999937751788337
33,46474,15, pharmaceutical,0.7142814306342177
34,48869,15, professionnels,0.8571380186568714
35,49573,15, concentrations,0.7142842849463037
36,60216,15, Implementation,0.9999951918720863
37,61033,15, constitutional,0.7142828954033542
38,70183,15, fonctionnement,0.9999962005857045
39,88138,15, demonstrations,0.9999946703369439
40,88311,15, responsabilité,0.9999942911242775
41,111252,15, supplémentaire,0.9999975944361165
42,111319,15, reconnaissance,0.9999956075628638
43,116035,15, établissements,0.9999964176984462
44,134373,15, Constitutional,0.9999926110649919
45,136936,15, téléchargement,0.9999966925290129
46,140547,15, collaborateurs,0.8571399652739997
47,151823,15, questionnaires,0.9999964724604882
48,153805,15,Recommendations,0.9999952196555656
49,154917,15, unquestionably,0.999993919787038
50,155295,15, Recommendation,0.5714272177155109
51,157670,15, responsiveness,0.8571374430451232
52,159614,15, quintessential,0.9999926507659578
53,162614,15, représentation,0.9999987151236349
54,163946,15, misconceptions,0.9999929584683424
55,164433,15, exceptionnelle,0.9999971717413237
56,169592,15, internationaux,0.9999949865433729
57,171559,15, incontournable,0.9999963079954413
58,176907,15, contradictions,0.8571358498732176
59,179493,15, présidentielle,0.9999951542130437
60,183651,15, définitivement,0.9999954823310555
61,185668,15, éventuellement,0.999995534209773
62,190703,15, officiellement,0.7142824489402599
63,194044,15, réglementation,0.9999965915871811
64,16449,14, environmental,0.9999929386065369
65,17852,14, entertainment,0.7142848652952789
66,29298,14, contributions,0.9999954499826559
67,31594,14, conversations,0.8571401474242564
68,34258,14,implementation,0.999996262337028
69,35494,14, développement,0.999997363396923
70,35727,14, establishment,0.8571372711010341
71,40695,14, entrepreneurs,0.9999941641387953
72,44927,14, profissionais,0.9999962119017398
73,46771,14, consciousness,0.9999950943559532
74,48442,14,Implementation,0.9999934119656242
75,53531,14, illustrations,0.9999928429673938
76,56324,14, demonstration,0.8571374047180793
77,65308,14, encouragement,0.9999960450018799
78,65367,14, subscriptions,0.7142839187184291
79,66081,14, environnement,0.9999977907631861
80,66912,14, transcription,0.9999945956326735
81,67570,14, questionnaire,0.9999983851790128
82,68706,14,communications,0.8571391931979497
83,70230,14, complementary,0.8538520881047488
84,72362,14, announcements,0.9999936940299452
85,74801,14, Opportunities,0.8685345024602908
86,76421,14, distributions,0.5683488713867099
87,80185,14, régulièrement,0.9999982266823985
88,88751,14, justification,0.9999952622916419
89,89786,14, connaissances,0.9999961720248794
90,97579,14, jurisdictions,0.9999936934753819
91,97628,14, uncertainties,0.9999961867925533
92,100743,14, immédiatement,0.9999943479671409
93,102691,14, prescriptions,0.9999950893857209
94,109903,14,’environnement,0.9999974399546725
95,116572,14, prerequisites,0.8571385728474905
96,121077,14,.JSONException,0.9984127746333847
97,122767,14, établissement,0.9999987995626091
98,123249,14, scientifiques,0.9999947601123895
99,123809,14, effectivement,0.9999959668257874
100,124510,14, supplementary,0.5714280959309669
