Rank,Encoding,Word Length,Word,Language Score
<<<<<<< HEAD
1,68263,17, cryptocurrencies,0.9999929846665572
2,135180,17, correspondientes,0.9999936618948417
3,172664,17, establecimientos,0.9999953957227559
4,187215,17, sustentabilidade,0.8571396164531989
5,37732,16, características,0.9999922675828281
6,80919,16, internacionales,0.9999977057501171
7,93928,16, correspondiente,0.9999938495026772
8,95603,16, respectivamente,0.9999935087251218
9,113526,16, automáticamente,0.7339923004163079
10,114311,16, establecimiento,0.9999957863107768
11,133487,16, recomendaciones,0.9999934540209252
12,144742,16, estabelecimento,0.9999950498482335
13,152939,16, disponibilidade,0.5758965972503002
14,171662,16, estadounidenses,0.9999948758479881
15,179419,16, funcionalidades,0.9999929167632655
16,184921,16, entretenimiento,0.9999949790935176
17,189177,16, específicamente,0.9999944609435428
18,191732,16, acontecimientos,0.9999953624214328
19,195770,16, especificamente,0.9999937512662225
20,69486,15, correspondence,0.6953729981662893
21,70919,15, representantes,0.997796310130926
22,73638,15, funcionamiento,0.9999962170676415
23,75468,15, administración,0.9999966889822747
24,79781,15, organizaciones,0.9999939306707352
25,89399,15, relacionamento,0.9999943540682646
26,94085,15, comportamiento,0.9999961795313389
27,94654,15, Administración,0.9999980274297908
28,95329,15, constitucional,0.8571388308133981
29,97157,15, reconocimiento,0.9999955138492385
30,99713,15, almacenamiento,0.9999957361151466
31,100446,15, característica,0.9999917966910882
32,102538,15, estadounidense,0.9999955519241832
33,104800,15, electronically,0.7142841973259957
34,107512,15, internacionais,0.999993778672538
35,114385,15, investigadores,0.9999945353185717
36,114968,15, representación,0.9999958625295723
37,124792,15,Características,0.9999939960239772
38,128653,15, procedimientos,0.9999938398571164
39,131533,15, transformación,0.9999956940162711
40,136493,15, especializados,0.9999945178070382
41,140769,15, disponibilidad,0.9999930611800403
42,145073,15, interpretación,0.9999986971613305
43,148678,15, implementación,0.9999943987742675
44,162652,15, identificación,0.9999961919826228
45,162895,15, estacionamento,0.9999959420041702
46,178891,15, comunicaciones,0.9999945232397135
47,188784,15, frequentemente,0.9984125032566376
48,190675,15, conversaciones,0.9999938748982604
49,192318,15, necesariamente,0.5714275067174208
50,195565,15, acontecimentos,0.9999938265558113
51,195953,15, proporcionando,0.8571369063220283
52,196861,15, vicepresidente,0.9999931811138101
53,200018,15,<|endofprompt|>,0.7142841627102315
54,28016,14, internacional,0.714283344044434
55,36468,14, especialmente,0.999995717497539
56,42735,14, Internacional,0.9999967820151477
57,43096,14, investigación,0.9999986789648808
58,44601,14, uncomfortable,0.9999934449761024
59,55869,14, unprecedented,0.9999955372926748
60,57378,14, participación,0.9999979092885415
61,70108,14, instalaciones,0.9999943929400241
62,77276,14, especialistas,0.9999953685521248
63,78956,14, conocimientos,0.9999953368000578
64,84678,14, correctamente,0.9999933014642804
65,84923,14, unpredictable,0.846188867333055
66,86218,14, correspondent,0.564724748054704
67,88580,14, funcionamento,0.9999947392226872
68,89948,14, representante,0.8520554627740076
69,91942,14, fundamentally,0.9999950904273304
70,92344,14, procedimiento,0.9999946735473777
71,99989,14, colaboradores,0.9999938001497473
72,100095,14, especializada,0.999993751278277
73,100862,14, semiconductor,0.9996712743124005
74,101716,14, consecuencias,0.999994307632166
75,105748,14, entrenamiento,0.9999953910912284
76,114285,14, prácticamente,0.9999934318780621
77,114984,14, procesamiento,0.999994177800632
78,116371,14, configuración,0.9999957450296684
79,116967,14, recientemente,0.714283643098761
80,119072,14, tradicionales,0.8673475693073246
81,123387,14, actualización,0.9999981716610853
82,124741,14, clasificación,0.9999985260206274
83,125343,14, declaraciones,0.9999948896390982
84,127427,14, especializado,0.9999961267375649
85,130985,14, concentración,0.9999965121697848
86,131521,14, fundamentales,0.999993138896538
87,132190,14, documentación,0.9999953742610932
88,133882,14, contradiction,0.7142827903459545
89,135606,14, retrospective,0.710985172449715
90,140756,14, acondicionado,0.9999938611193466
91,145419,14, Investigación,0.9999948241745116
92,155810,14, Semiconductor,0.9999915984691596
93,159025,14, consequential,0.9999940619061802
94,160753,14, publicaciones,0.9999949606926429
95,163335,14, planificación,0.9999971259877196
96,163675,14, contradictory,0.7142842821357122
97,169279,14, biodegradable,0.999994785266507
98,170761,14, discrepancies,0.9999929408236103
99,172048,14, contraception,0.8571392028519726
100,173645,14, gerenciamento,0.8571388702755639
=======
1,68263,17, cryptocurrencies,0.9999936698720181
2,135180,17, correspondientes,0.9999936454125685
3,172664,17, establecimientos,0.99999717579756
4,187215,17, sustentabilidade,0.714088982233401
5,37732,16, características,0.9999938237015052
6,80919,16, internacionales,0.9999959205647282
7,93928,16, correspondiente,0.9999946456769478
8,95603,16, respectivamente,0.9999947047587445
9,113526,16, automáticamente,0.9685906176536323
10,114311,16, establecimiento,0.9999954926558392
11,133487,16, recomendaciones,0.9999943904280943
12,139191,16, investigaciones,0.8571144601707316
13,144742,16, estabelecimento,0.9999944027836224
14,146439,16, suficientemente,0.8630137642850826
15,152939,16, disponibilidade,0.9999943417747461
16,171662,16, estadounidenses,0.9999962385062282
17,179419,16, funcionalidades,0.9999959748507492
18,184921,16, entretenimiento,0.9999934026762294
19,189177,16, específicamente,0.999996601639472
20,191732,16, acontecimientos,0.9999966514912146
21,195770,16, especificamente,0.9999950081985911
22,69486,15, correspondence,0.6752441701371968
23,70919,15, representantes,0.9999799932901183
24,73638,15, funcionamiento,0.999994462651871
25,75468,15, administración,0.9999972689941697
26,79781,15, organizaciones,0.9999944675292257
27,89399,15, relacionamento,0.9999952460251894
28,94085,15, comportamiento,0.9999945595984914
29,94654,15, Administración,0.9999951955433551
30,95329,15, constitucional,0.7142809799374941
31,97157,15, reconocimiento,0.999996051821593
32,99713,15, almacenamiento,0.9999958555498026
33,100446,15, característica,0.9999927897790908
34,102538,15, estadounidense,0.9999925282437556
35,104800,15, electronically,0.7142828184529475
36,107512,15, internacionais,0.9999939547890949
37,114385,15, investigadores,0.999992682772611
38,114968,15, representación,0.9999954033847418
39,124792,15,Características,0.9999941179890143
40,128653,15, procedimientos,0.9999970095429755
41,131533,15, transformación,0.999996328929777
42,136493,15, especializados,0.9999935211184585
43,140769,15, disponibilidad,0.8571394904336956
44,145073,15, interpretación,0.9999969997269782
45,148678,15, implementación,0.9999960903889549
46,157009,15, Constitucional,0.5631965414524555
47,162652,15, identificación,0.9999936934101954
48,162895,15, estacionamento,0.999993798988983
49,178891,15, comunicaciones,0.9999950496395515
50,188784,15, frequentemente,0.9999930952845593
51,190675,15, conversaciones,0.7142831416791509
52,194725,15, modificaciones,0.7142851265606436
53,195565,15, acontecimentos,0.9999932272114239
54,195953,15, proporcionando,0.9999933604446056
55,196861,15, vicepresidente,0.999994683429814
56,199520,15, correspondente,0.5203428803229111
57,28016,14, internacional,0.9999951779703464
58,36468,14, especialmente,0.9999936275672667
59,42735,14, Internacional,0.9999957731387427
60,43096,14, investigación,0.9999974536834406
61,44601,14, uncomfortable,0.9999936937269609
62,55869,14, unprecedented,0.999993994184255
63,57378,14, participación,0.9999984467997358
64,70108,14, instalaciones,0.8571368325375706
65,77276,14, especialistas,0.9999962878195232
66,78956,14, conocimientos,0.999996196606571
67,83550,14, inconvenience,0.5714265145002997
68,84678,14, correctamente,0.9999927186232186
69,84923,14, unpredictable,0.6928968760195523
70,86218,14, correspondent,0.5792601673397715
71,88580,14, funcionamento,0.9999956682282393
72,89948,14, representante,0.9999859102002944
73,91942,14, fundamentally,0.999993157595264
74,92344,14, procedimiento,0.9540621830676076
75,99989,14, colaboradores,0.9999936720438513
76,100095,14, especializada,0.9999938067075752
77,100862,14, semiconductor,0.9999939467285761
78,101716,14, consecuencias,0.9999956272040698
79,104825,14, universidades,0.9999946233357313
80,105748,14, entrenamiento,0.9999957963856694
81,114285,14, prácticamente,0.8571373066773834
82,114984,14, procesamiento,0.9999925920049562
83,116371,14, configuración,0.9999969324220943
84,116967,14, recientemente,0.9999938897375173
85,119072,14, tradicionales,0.8179881754331799
86,123387,14, actualización,0.9999962495940548
87,124741,14, clasificación,0.9999951484386785
88,125343,14, declaraciones,0.9999933565204012
89,127427,14, especializado,0.9999938811503714
90,130985,14, concentración,0.9999960839673365
91,131521,14, fundamentales,0.999994062464055
92,132190,14, documentación,0.999996705671232
93,132736,14, instrucciones,0.7142841300346582
94,133882,14, contradiction,0.7148941931073343
95,135606,14, retrospective,0.7142832891174143
96,140756,14, acondicionado,0.9999928701718671
97,145419,14, Investigación,0.9999956935391201
98,146059,14, departamentos,0.5576675820558773
99,155810,14, Semiconductor,0.9999948319705954
100,159025,14, consequential,0.9999932763813246
>>>>>>> 86d5be4 (second commit, add Turkish)
