Rank,Encoding,Word Length,Word,Language Score_langdetect,Language Score_langid
1,96123,17, caractéristiques,0.9999980826337771,0.9999999998756012
2,96772,17, entrepreneurship,0.9999953802077003,0.9985573744371747
3,142886,17, professionnelles,0.8571400289335234,0.936813648560155
4,160774,17, Entrepreneurship,0.8571403804670888,0.9985573744371747
5,92880,16, entrepreneurial,0.9999952023263705,0.9424194172173037
6,99346,16, supplémentaires,0.9999967918102537,0.9999878368406464
7,111283,16, fonctionnalités,0.9999965741689986,0.9999977135601625
8,123202,16, automatiquement,0.9999985515945076,0.9999659018957281
9,141323,16, essentiellement,0.9999970442314993,0.9484728198268071
10,172876,16, complémentaires,0.9999951475098169,0.9999878368406464
11,197371,16, responsabilités,0.9999966796040948,0.9981070418426257
12,48869,15, professionnels,0.8571367106278968,0.9054653679400687
13,70183,15, fonctionnement,0.9999957846423322,0.9920193759495138
14,88311,15, responsabilité,0.9999956691971099,0.9998038454978273
15,111252,15, supplémentaire,0.9999941519670974,0.9999878368406464
16,116035,15, établissements,0.9999987415141136,0.9999978159648258
17,136936,15, téléchargement,0.9999965263021023,0.9988457350965995
18,140547,15, collaborateurs,0.8571394922039471,0.9997738209873184
19,151823,15, questionnaires,0.9999963239416219,0.9999966089241896
20,159614,15, quintessential,0.9999945441453358,0.8227756948231401
21,162614,15, représentation,0.9999945797940129,0.9517094891129224
22,164433,15, exceptionnelle,0.9999969770943564,0.936813648560155
23,169592,15, internationaux,0.9999974840174877,0.9979437363785844
24,179493,15, présidentielle,0.9999955231032631,0.9898911324703187
25,183651,15, définitivement,0.9999959156464316,0.9999984744775473
26,185668,15, éventuellement,0.9999965781106475,0.9003382410528854
27,194044,15, réglementation,0.9999984014396615,0.8712611708524622
28,35494,14, développement,0.9999979604528596,0.9997917983276694
29,40695,14, entrepreneurs,0.9999965417728686,0.9985573744371747
30,49319,14, professionnel,0.5714260538113725,0.9054653679400687
31,66081,14, environnement,0.9999954136729378,0.790416956169032
32,67570,14, questionnaire,0.9999972850535702,0.9999966089241896
33,80185,14, régulièrement,0.9999981150091365,0.9999967274721312
34,100743,14, immédiatement,0.9999971104362768,0.9022735752579648
35,109903,14,’environnement,0.9999954021541467,0.9908282504389745
36,122767,14, établissement,0.999996891591476,0.9999978159648258
37,123249,14, scientifiques,0.9999967171155604,0.9948155016015681
38,126178,14, propriétaires,0.9999967823659673,0.9999999997217511
39,129141,14, consommateurs,0.9999976564156037,0.999418260232856
40,141464,14,'établissement,0.9999972065140049,0.9997563874502474
41,142333,14, compréhension,0.9999957418294291,0.9196617267008811
42,145835,14,'environnement,0.9999957185727231,0.790416956169032
43,157296,14, représentants,0.9999936979718705,0.9517094891129224
44,160106,14, référencement,0.9999966719850842,0.9999995740132019
45,163871,14, collectivités,0.9999944541496194,0.8334324865844539
46,170933,14, contrairement,0.9999955375933534,0.9243166000714805
47,182245,14, Questionnaire,0.999997434867266,0.9991021814755987
48,183599,14,’établissement,0.9999978958338469,0.9999831712996508
49,183830,14, électroniques,0.9999976500082639,0.9999999898219903
50,189398,14, Entrepreneurs,0.999994230286513,0.9985573744371747
