Rank,Encoding,Word Length,Word,Language Score_langdetect,Language Score_langid
1,133739,19, selbstverständlich,0.9999948260046194,0.9228396136714088
2,193348,19, Wahrscheinlichkeit,0.9999979092956741,0.9999999999993701
3,88004,18, unterschiedlichen,0.9999969142951496,0.9999999983114661
4,134381,18, Herausforderungen,0.9999969156912155,0.9999940423704168
5,98312,17, unterschiedliche,0.9999959082815584,0.9999998597008882
6,134069,17, Dienstleistungen,0.9999969830362216,0.9999999999902506
7,191537,17, Veröffentlichung,0.9999986616026911,0.9999999998383466
8,104848,16, Veranstaltungen,0.9999978135122344,0.999998974718094
9,107119,16, unterschiedlich,0.9999965573165964,0.9999887184009031
10,136277,16, Schwangerschaft,0.999998641763392,0.9999771550038322
11,139059,16, beziehungsweise,0.9999969117934845,0.999999523266454
12,147518,16, Herausforderung,0.8571403732182985,0.9999366440687277
13,154013,16, Voraussetzungen,0.9999971518267058,0.9999999977739539
14,170326,16, Geschäftsführer,0.9999991372046864,0.9999999998450386
15,170854,16, Bundesregierung,0.9999976982537849,0.9999820137679495
16,180241,16, Digitalisierung,0.9999963636469148,0.9999991907768562
17,183602,16, Geschwindigkeit,0.999996611843793,0.9999999930611886
18,196042,16, Schwierigkeiten,0.9999967169141765,0.9999999995153969
19,65155,15, beispielsweise,0.9999933426055777,0.997505436267999
20,84052,15, veröffentlicht,0.9999962438761939,0.9999999998604466
21,86504,15, understandable,0.5714257406204284,0.9546017389913494
22,87411,15, Zusammenarbeit,0.9999958158012276,0.9999999977287778
23,88922,15, wahrscheinlich,0.9999980743879002,0.9999991209528861
24,92282,15, ausschließlich,0.9999973196631986,0.9999999992622824
25,97740,15, Spielautomaten,0.7142825165628466,0.7538568540299807
26,108241,15, entsprechenden,0.9999953152832742,0.9998644926868044
27,111881,15, ausgeschlossen,0.9999992833692103,0.9999980142340311
28,123534,15, verantwortlich,0.8571400497203387,0.999766810275014
29,129126,15, möglicherweise,0.999998234613992,0.9999999999995979
30,144685,15, Aufmerksamkeit,0.9999957131889285,0.999998293230363
31,146197,15, einschließlich,0.9999995397739412,0.9999999999999987
32,153527,15, Entscheidungen,0.9999991426028974,0.999999924305566
33,164218,15, Öffentlichkeit,0.9999970124581722,0.9999999999024105
34,164367,15, offensichtlich,0.9999988134667355,0.9999993954872117
35,171801,15,rscheinlichkeit,0.9999963319734093,0.9999999998526072
36,174745,15, berücksichtigt,0.9999980425270929,0.9999999999999996
37,177621,15, understatement,0.9999954122434188,0.8901113354346936
38,184287,15, Landwirtschaft,0.9999961264211328,0.9999978101889174
39,195840,15, Persönlichkeit,0.9999979745014376,0.9999940108364744
40,199545,15, understandably,0.9999935252598315,0.9546017389913494
41,10335,14, understanding,0.9999950509680315,0.8901113354346936
42,20067,14, verschillende,0.9999939250155148,0.7072308348019134
43,43049,14, verschiedenen,0.9999954323111867,0.9098751202748896
44,46051,14, undergraduate,0.9999951282294955,0.6069256094692024
45,61034,14, Understanding,0.9999947365583484,0.6227894811795622
46,66196,14, Möglichkeiten,0.9999977643805746,0.999999999994018
47,67781,14, Unterstützung,0.9999972883717323,0.9999999995826998
48,91810,14, Veranstaltung,0.9999957092451581,0.9996170560034423
49,96900,14, Anforderungen,0.8571386850120296,0.9999865303509502
50,112220,14, Eigenschaften,0.9999980927339027,0.999999942917406
51,114933,14, ausgezeichnet,0.9999985405474399,0.9999999999617094
52,115151,14, Vergangenheit,0.9999957473864548,0.949264363280579
53,118553,14, entsprechende,0.9999975906429102,0.9998644926868044
54,119641,14, Verantwortung,0.9999964939681609,0.9999836325956426
55,127083,14, grundsätzlich,0.999996168364554,0.999999988274191
56,130725,14, abgeschlossen,0.9999970867976737,0.9998988442847118
57,132858,14, eigenschappen,0.999994660402458,0.9903526387996799
58,142521,14, Einstellungen,0.9999966174113556,0.9999999998302737
59,142586,14, beneidenswert,0.9999975735056597,0.8970198339346752
60,142939,14, schizophrenia,0.9999948781924001,0.9966425925615195
61,146953,14, Einrichtungen,0.9999984669494215,0.9999999999999988
62,147652,14, reprehenderit,0.8571391816937289,0.9855226889962043
63,148846,14, Veränderungen,0.9999968024178187,0.9999995466403035
64,150077,14,smöglichkeiten,0.9999968642277695,0.9999999999570455
65,150774,14, underestimate,0.9999963245238768,0.8123937103404387
66,153688,14, Bürgermeister,0.9999976963931685,0.9981076477171795
67,157293,14, elektronische,0.9999946151297565,0.956033205507786
68,157552,14, normalerweise,0.9999948052376089,0.9886115040758128
69,160040,14, Veröffentlich,0.9999980441853,0.9999999879879212
70,162642,14, unterscheiden,0.9999971157145047,0.9999710123172645
71,165042,14, interessieren,0.9999934325918161,0.7014675368285737
72,166797,14, erfolgreichen,0.9999972946316613,0.999999999992885
73,167021,14, Niedersachsen,0.9999988556229524,0.9673339259289494
74,169301,14, hauptsächlich,0.9999972592797041,0.9999523881000957
75,175542,14, gewährleisten,0.999995817959068,0.9999999962443236
76,181461,14, verschiedener,0.999994300403217,0.9098751202748896
77,183836,14, Registrierung,0.9999976970731852,0.9995806371196757
78,189835,14, herunterladen,0.9999958503820867,0.9973184415113668
79,193123,14, Voraussetzung,0.9999972889445508,0.9999999468140669
80,194810,14, onderscheiden,0.7142838133797059,0.9040664145777412
81,195673,14, wunderschönen,0.9999975475428022,0.9999999959479646
82,197552,14, Vorstellungen,0.999995076260012,0.9999999838842517
83,197777,14, Weiterbildung,0.9999965425417132,0.9999997567207181
84,198793,14, ausgesprochen,0.9999965802569148,0.9999923164564508
85,198876,14, Entwicklungen,0.9999978877804672,0.9929065842311786
86,49913,13, verschiedene,0.9999949895442546,0.9098751202748896
87,59913,13, Gesellschaft,0.9999982040612807,0.9999598510548623
88,64197,13, funktioniert,0.8571372078363082,0.9957750320816422
89,73258,13, Entscheidung,0.9999970142115211,0.9999992054389196
90,74042,13, Unternehmens,0.9999965120980852,0.9997555978521014
91,75409,13, unterstützen,0.9999968567206137,0.9999999927144702
92,76716,13, gleichzeitig,0.999996323324108,0.9999761193005108
93,84768,13, erforderlich,0.8571387594160904,0.9941490688414822
94,86419,13, Wissenschaft,0.9999962811804346,0.9999581866907096
95,88800,13, mittlerweile,0.9999970075970337,0.9997527542165063
96,89195,13, persönlichen,0.9999974483466239,0.9999999572268095
97,95337,13, ausgestattet,0.9999957412479177,0.9999064609704154
98,95476,13, öffentlichen,0.9999981513375542,0.9999999999930903
99,95586,13, entsprechend,0.9999956851438363,0.9996697575701816
100,99812,13, durchgeführt,0.9999968468487929,0.9999999714723781
