Rank,Encoding,Word Length,Word,Language Score_langdetect,Language Score_langid
1,106378,16,　　　　　　　　　　　　　　　　,0.9999999377906045,1.0
2,113862,11,ありがとうございました,0.9999999999995585,1.0
3,93926,10,ありがとうございます,0.9999999999999588,1.0
4,147058,10,VIPがお送りします,0.9999999946311161,1.0
5,33552,8,　　　　　　　　,0.9999998954032873,0.9999999994741269
6,108576,8, 風吹けば名無し,0.9999996866246503,1.0
7,170050,8,"　　

　　

",0.9999999254507087,0.9997401882463557
8,171403,8, スーパーコピー,0.9999999999999896,1.0
9,196368,8,】【。】【”】【,0.999990713591878,0.9999999999988861
10,77298,7,＠お腹いっぱい,0.9999999999998527,1.0
11,87123,7,風吹けば名無し,0.9999989712971604,1.0
12,118712,7,トラックバック,0.9999999999998428,1.0
13,123086,7,がお送りします,0.9999999999937325,1.0
14,139807,7,　　　　　　　,0.9999999247323654,0.99999999078515
15,177976,7,ご了承ください,0.9999994505981957,1.0
16,44948,6, 名無しさん,0.9999991800335506,1.0
17,106409,6,ございました,0.9999999999999379,1.0
18,109574,6, レディース,0.9999999999999846,1.0
19,109585,6,ラックバック,0.9999999999999876,1.0
20,119029,6,　　　　　　,0.9999998898199819,0.9999998385286504
21,136526,6,お問い合わせ,0.9999996745294865,1.0
22,137015,6,お願いします,0.9999999999998264,1.0
23,146906,6,の名無しさん,0.9999982633370382,1.0
24,148746,6,してください,0.9999999999999221,1.0
25,169195,6,中央値との差,0.9999987240544368,1.0
26,192583,6,しております,0.9999999999999557,1.0
27,195002,6,プロフィール,0.9999999999994584,1.0
28,195972,6,"】【。】

",0.9999907200571374,0.9999988654354277
29,196993,6,されています,0.9999999999999123,1.0
30,26139,5,名無しさん,0.9999987336560794,1.0
31,44832,5,】【。】【,0.9999907275402289,0.9999999879240384
32,55300,5,ありがとう,0.9999999999998584,1.0
33,59809,5,ございます,0.9999999999992869,1.0
34,90602,5,＠恐縮です,0.9999999110828053,1.0
35,92559,5,ランキング,0.9999999999999856,0.9999999999999999
36,94092,5,　　　　　,0.9999998921097961,0.9999971705528456
37,95839,5,こんにちは,0.9999999999999253,1.0
38,105097,5,問い合わせ,0.9999984856001111,1.0
39,105931,5,続きを読む,0.9999997028895272,1.0
40,111060,5,】【、】【,0.9999990167562205,0.9999999999997367
41,120362,5,送りします,0.9999996750505332,1.0
42,121986,5, スーパー,0.9999999999999708,1.0
43,123622,5,スポンサー,0.9999999999999752,0.9999999999999999
44,124871,5,しています,0.9999999999997724,1.0
45,143814,5, 名無しの,0.8571424903204352,1.0
46,144531,5,ありません,0.999999999999921,1.0
47,159656,5, ブラック,0.9999999999999101,0.999999999995664
48,164454,5,があります,0.9999999999996828,1.0
49,168396,5,平均との差,0.999999383003565,1.0
50,173276,5,になります,0.9999999999981178,1.0
51,178655,5,オンライン,0.9999999999999756,1.0
52,178757,5,こんばんは,0.9999999999999534,1.0
53,180276,5, ブランド,0.9999999999999488,0.9999999999999951
54,185024,5,カテゴリー,0.9999999999999747,0.9999999995746837
55,190841,5,っています,0.9999999999996281,1.0
56,191902,5, コメント,0.9999999999999869,1.0
57,197513,5,＠おーぷん,0.9999999999999901,1.0
58,12754,4,　　　　,0.9999999148249933,0.9999504220512418
59,41460,4,コメント,0.9999999999999709,0.9999999999999987
60,44900,4,ください,0.9999999999996795,1.0
61,45955,4,"　　

",0.999999908827132,0.9850041907607318
62,69920,4,いっぱい,0.9999999999999005,1.0
63,72905,4, 　 　,0.9999999453623296,0.9998128356659889
64,77798,4,いました,0.9999999999999757,1.0
65,79854,4,しました,0.9999999999997016,1.0
66,86165,4,風吹けば,0.9999993262753124,0.9999999999311925
67,89941,4,ディース,0.9999999999999867,1.0
68,90288,4,恐縮です,0.9999984853704575,1.0
69,92994,4,ポイント,0.9999999999999809,1.0
70,94408,4,について,0.9999999999999098,1.0
71,95113,4,   　,0.9999998202917808,0.9871005615453459
72,95197,4, ケース,0.999999999999995,1.0
73,101560,4,あります,0.999999999999588,1.0
74,104099,4, コピー,0.9999999999999798,0.9999999999321914
75,110484,4,レビュー,0.999999999999801,1.0
76,111674,4,ブランド,0.9999999999998518,0.9999999999995878
77,115557,4, メンズ,0.9999999999999682,0.9999999999983383
78,116908,4,はこちら,0.9999999999997563,1.0
79,117391,4,この記事,0.9999999991825262,1.0
80,117789,4,おすすめ,0.99999999999994,1.0
81,120447,4,。しかし,0.9999999986138677,1.0
82,122223,4,ています,0.9999999999997773,1.0
83,124256,4,サービス,0.9999999999999498,0.9999999999999993
84,125442,4,アクセス,0.9999999999999908,0.9999999999992127
85,127204,4,おります,0.9999999999998974,1.0
86,127850,4,フォーム,0.9999999999999317,0.9999999999999998
87,128237,4,ニュース,0.9999999999999784,1.0
88,131888,4,よろしく,0.9999999999998868,1.0
89,132285,4,カテゴリ,0.9999999999999858,0.9983920327553084
90,143402,4, サイズ,0.9999999999999889,0.999999999999995
91,146281,4,クリック,0.9999999999999638,1.0
92,146381,4,ッション,0.9999999999997469,0.9999999998688125
93,146703,4,りました,0.9999999999998379,1.0
94,147131,4,」という,0.9999999982211616,1.0
95,147589,4,ーション,0.9999999999999405,1.0
96,152546,4,できます,0.9999999999998002,1.0
97,157351,4,でしょう,0.9999999999999785,1.0
98,159038,4,"

　
",0.9999998599909297,0.7862254531517419
99,160028,4,こんばん,0.9999999999999732,1.0
100,167770,4, その他,0.9999999999209537,0.9999999999999998
