Rank,Encoding,Word Length,Word,Language Score_langdetect,Language Score_langid
1,132622,18, responsabilidades,0.9999939031607016,0.7926750772203986
2,74639,17, responsabilidade,0.9999953484437062,0.7638209409853958
3,37784,16, desenvolvimento,0.9999954428891906,0.7635372919305444
4,96721,15, acompanhamento,0.9999957585911688,0.9873247287395752
5,125866,15, possibilidades,0.9999943209516886,0.7777395329293033
6,189616,15, cuidadosamente,0.7142816705207294,0.6824764175126932
7,194060,15, personalizados,0.9999928304111414,0.7803726972762908
8,55451,14, oportunidades,0.9999949632549183,0.5965750490622944
9,65267,14, possibilidade,0.9999972524559633,0.7452344568886649
10,82024,14, posibilidades,0.590833893142777,0.7777395329293033
11,84118,14, trabalhadores,0.999996503757205,0.9999636924255929
12,93265,14, administração,0.9999978848949337,0.9999999999674275
13,104825,14, universidades,0.7142828484528903,0.7777395329293033
14,111979,14, Administração,0.9999985801266865,0.9999999999674275
15,128515,14, classificação,0.9999973103154753,0.9999999999505073
16,131899,14, personalizado,0.9999935628689248,0.601484291035181
17,139513,14, acompanhantes,0.9999971325250631,0.9952598089544691
18,140809,14, identificação,0.9999994806101851,0.9999999999505073
19,143643,14, personalidade,0.9998162096359554,0.7452344568886649
20,148096,14, transformação,0.9999976880840098,0.9999999996354472
21,161998,14, produtividade,0.9999952389092187,0.8281832436948818
22,163530,14, implementação,0.999997181357307,0.9999999999505073
23,165197,14, consequências,0.999996940243861,0.9999564189280327
24,172068,14, interpretação,0.99999800226141,0.9999999999505073
25,174742,14, classificados,0.9999948665935836,0.6580169990375857
26,177684,14, representação,0.9999980154261742,0.9999999999505073
27,188058,14, apresentações,0.9999965323184363,0.9999999998935728
28,197497,14, manifestações,0.999997452619037,0.9999999998935728
29,51512,13, Universidade,0.9999950976252611,0.7452344568886649
30,57757,13, oportunidade,0.9999958214199214,0.557588570902524
31,60825,13, participação,0.9999971030016415,0.999999999999578
32,73212,13, necessidades,0.9999972078169743,0.7912359961942805
33,82218,13, apresentação,0.9999993928844767,0.9999999999505073
34,87961,13, instituições,0.9999974094877939,0.99999999994895
35,100134,13, experiências,0.9999980024553823,0.9999564189280327
36,107929,13, distribuição,0.9999969265065471,0.9999999999762809
37,116441,13, investigação,0.9999987127684866,0.9999999999889877
38,123056,13, Constituição,0.9999989183715879,0.9999999999762809
39,126562,13, organizações,0.9999956772851859,0.9999999998935728
40,128077,13, considerados,0.9999937680221942,0.6558354196133642
41,128238,13, compartilhar,0.9999985109811383,0.8341875290571165
42,132981,13, tradicionais,0.9999946134768353,0.6685792924060792
43,137777,13, propriedades,0.8571376437227397,0.9863020258823268
44,153865,13, concentração,0.9999974859128005,0.9999999999674275
45,154925,13, inteligência,0.8571401663816292,0.9741777525129985
46,160180,13, criatividade,0.9999960623452377,0.8281832436948818
47,162979,13, continuidade,0.999994907912828,0.7509579379723241
48,166158,13, contribuição,0.9999975128024751,0.9999999999762809
49,167273,13, apresentados,0.9999924969256369,0.6476732767819349
50,169118,13, acompanhante,0.9999959961809289,0.9630691464594735
51,171327,13, universidade,0.7142839174048954,0.7452344568886649
52,173809,13, certificados,0.8395268121747278,0.6580169990375857
53,176630,13, consideração,0.9999972993390857,0.9999999999674275
54,176903,13, configuração,0.9999992214625392,0.9999999999674275
55,181184,13, consideradas,0.9999923247752837,0.5063168559642651
56,192464,13, manifestação,0.9999976636143847,0.9999999999505073
57,195313,13, fiscalização,0.9999981696283204,0.9999999999990486
58,196396,13, documentação,0.9999993782745883,0.9999999999505073
59,197956,13, competências,0.9999955794860362,0.9999564189280327
60,198231,13, determinação,0.9999988381815016,0.9999999999981174
61,199604,13, consequência,0.9999948073360865,0.8097164571230538
62,28533,12, informações,0.9999973688566314,0.9999999992161123
63,33180,12, actividades,0.7140061486597088,0.8516687768155571
64,41978,12, experiência,0.9999958762106046,0.8097164571230538
65,47847,12, necesidades,0.9999935963392974,0.7912359961942805
66,48276,12, autoridades,0.9999945678455836,0.8871348827563799
67,52488,12, necessidade,0.9999973747044701,0.7607785727720643
68,63586,12, comunicação,0.9999996870583465,0.9999999999505073
69,63869,12, organização,0.9999983606008241,0.9999999999505073
70,64100,12, habilidades,0.9999959878730679,0.5959749216442707
71,65007,12, comentários,0.9999965658312533,0.9372849190017744
72,65150,12, comunidades,0.999994572406827,0.7284279912222268
73,92299,12, propriedade,0.8571378646608391,0.9819001809721893
74,93263,12, instituição,0.9999962337764043,0.9999999999762809
75,94070,12, alimentação,0.999998190955776,0.9999999999963998
76,98358,12, programação,0.9999985913962993,0.9999999996354472
77,103541,12, localização,0.9999974752538006,0.9999999999864846
78,106959,12, consciência,0.9999955982591013,0.9973023334940396
79,107080,12, resistência,0.9999955978114994,0.846457957221734
80,115262,12, recuperação,0.9999973608465251,0.9999999999931956
81,118068,12, necessários,0.9999971470100466,0.9999938883173521
82,123645,12, seguramente,0.999992987177756,0.5125607982847108
83,125528,12, trabalhando,0.9999943157668332,0.9022573099990521
84,126570,12, necessárias,0.8571411966480662,0.9999382344274582
85,129567,12, transmissão,0.9999980142090809,0.9999991082353845
86,131419,12, preocupação,0.9999983762564855,0.9999999999760254
87,132636,12, assistência,0.9999969161857636,0.7168509114229461
88,136397,12, instalações,0.9999961404132023,0.9999999998935728
89,142039,12, compreensão,0.8571420027728717,0.9999944499271556
90,143246,12, atualização,0.9999984669287612,0.9999999999864846
91,143962,12, contratação,0.9999977390534528,0.9999999999505073
92,144921,12, recomendado,0.999994732057325,0.5584834254590645
93,146498,12, Comunicação,0.9999980445061065,0.9999999999505073
94,149782,12, intervenção,0.999999300291648,0.999999999997092
95,150696,12, modalidades,0.9999950097973026,0.7777395329293033
96,151308,12, autorização,0.9999986278375412,0.9999999999980564
97,153234,12, brasileiras,0.9999986645637524,0.6636283058620474
98,156160,12, creatividad,0.9999939429606777,0.5217359865570955
99,158423,12, diversidade,0.9999956385241994,0.7452344568886649
100,161744,12, localidades,0.8571398752546943,0.7777395329293033
