Rank,Encoding,Word Length,Word,Language Score_langdetect,Language Score_langid
1,179078,17, государственного,0.9999993663175811,0.9992303846888669
2,199737,17, законодательства,0.9999960336544533,0.9441003558135328
3,131376,16, непосредственно,0.9999950587549233,0.577499472749429
4,135179,16, государственной,0.9999964564586962,0.9999982340105916
5,150266,16, ответственность,0.9999987792441323,0.9999999824887629
6,151213,16, ответственности,0.9999971948132204,0.9200104310502527
7,191438,16, Республикасынын,0.999998030662643,0.9209513504005844
8,192435,16, государственных,0.9999972776933843,0.9999985696039246
9,82801,15, самостоятельно,0.9999959556085376,0.9999979123888065
10,114002,15, осуществляется,0.999998603446932,0.9999981387113993
11,130286,15, использованием,0.9999988794032326,0.9999999986767508
12,145955,15, дополнительные,0.9999964638444259,0.9999999999999978
13,151029,15, соответственно,0.9999971532372476,0.9993698785634162
14,163615,15, дополнительных,0.9999994536019442,0.9999999999983048
15,190152,15, восстановления,0.9999972658496248,0.9183080816003827
16,73158,14, использования,0.9999987278665736,0.9999996930143381
17,78338,14, действительно,0.9999979101015716,0.999954672006191
18,90132,14, необходимости,0.9999938362113479,0.9432195920736429
19,98087,14, рекомендуется,0.9999979216224684,0.996834409512993
20,107808,14, использование,0.9999979478664036,0.9999999978668536
21,110942,14, пользователей,0.9999963646719485,0.9989985116510753
22,123433,14, строительства,0.9999970743099376,0.9999996920882491
23,131132,14, исключительно,0.9999971441178054,0.9999999527183778
24,131269,14, приготовления,0.9999934289540469,0.5167455871168203
25,131316,14, использовании,0.9999982400489354,0.9999984996001265
26,136502,14, собственности,0.9999942747139415,0.9997756723338315
27,160293,14, строительство,0.9999967269600286,0.9999998581034264
28,162600,14, администрации,0.9999940494077275,0.9400822394477076
29,162977,14, автоматически,0.9999933230218155,0.8227872117275381
30,167919,14, производителя,0.9999944680472684,0.5025677064166525
31,170561,14, необходимость,0.9999966069010053,0.9980658962754576
32,170763,14, соответствует,0.9999923991731611,0.9980420006563059
33,173350,14, возникновения,0.99999584548146,0.8449411821404882
34,174838,14, представитель,0.9999970976448754,0.9934089275249725
35,183316,14, эффективности,0.9999983311095347,0.9967287495496293
36,188247,14, эффективность,0.9999979519253321,0.999713405202697
37,188924,14, правительства,0.999997996676258,0.9924768773267573
38,189121,14, последователь,0.9999962802028287,0.9999734150714593
