Rank,Encoding,Word Length,Word,Language Score
1,96123,17, caractéristiques,0.9999999998756012
2,96772,17, entrepreneurship,0.9985573744371747
3,108505,17, gastrointestinal,0.734750038238266
4,142886,17, professionnelles,0.936813648560155
5,160774,17, Entrepreneurship,0.9985573744371747
6,69674,16, professionnelle,0.936813648560155
7,92880,16, entrepreneurial,0.9424194172173037
8,99346,16, supplémentaires,0.9999878368406464
9,111283,16, fonctionnalités,0.9999977135601625
10,123202,16, automatiquement,0.9999659018957281
11,130855,16, kontaktannonser,0.6714968897313681
12,141323,16, essentiellement,0.9484728198268071
13,172876,16, complémentaires,0.9999878368406464
14,191738,16, confidentialité,0.9993149287389355
15,197371,16, responsabilités,0.9981070418426257
16,48869,15, professionnels,0.9054653679400687
17,48922,15, qualifications,0.7362034794051459
18,70183,15, fonctionnement,0.9920193759495138
19,88311,15, responsabilité,0.9998038454978273
20,111252,15, supplémentaire,0.9999878368406464
21,116035,15, établissements,0.9999978159648258
22,133303,15, renseignements,0.8879808836023012
23,136936,15, téléchargement,0.9988457350965995
24,140547,15, collaborateurs,0.9997738209873184
25,147886,15, traditionnelle,0.936813648560155
26,151823,15, questionnaires,0.9999966089241896
27,153569,15, extraordinaire,0.9243166000714805
28,159614,15, quintessential,0.8227756948231401
29,162614,15, représentation,0.9517094891129224
30,164433,15, exceptionnelle,0.936813648560155
31,169592,15, internationaux,0.9979437363785844
32,179493,15, présidentielle,0.9898911324703187
33,183651,15, définitivement,0.9999984744775473
34,185668,15, éventuellement,0.9003382410528854
35,188013,15,creativecommons,0.5992255977162246
36,194044,15, réglementation,0.8712611708524622
37,35494,14, développement,0.9997917983276694
38,40695,14, entrepreneurs,0.9985573744371747
39,49319,14, professionnel,0.9054653679400687
40,66081,14, environnement,0.790416956169032
41,67570,14, questionnaire,0.9999966089241896
42,80185,14, régulièrement,0.9999967274721312
43,100743,14, immédiatement,0.9022735752579648
44,109903,14,’environnement,0.9908282504389745
45,122767,14, établissement,0.9999978159648258
46,123249,14, scientifiques,0.9948155016015681
47,126178,14, propriétaires,0.9999999997217511
48,129141,14, consommateurs,0.999418260232856
49,141464,14,'établissement,0.9997563874502474
50,142333,14, compréhension,0.9196617267008811
51,145835,14,'environnement,0.790416956169032
52,157296,14, représentants,0.9517094891129224
53,160106,14, référencement,0.9999995740132019
54,163871,14, collectivités,0.8334324865844539
55,170189,14, disponibilité,0.9993149287389355
56,170933,14, contrairement,0.9243166000714805
57,182245,14, Questionnaire,0.9991021814755987
58,183599,14,’établissement,0.9999831712996508
59,183830,14, électroniques,0.9999999898219903
60,189398,14, Entrepreneurs,0.9985573744371747
61,189698,14, universitaire,0.9654485876218095
62,192320,14, investisseurs,0.994542470330467
63,33271,13, entrepreneur,0.9424194172173037
64,39004,13, destinations,0.8022457823582088
65,40090,13, descriptions,0.8022457823582088
66,44272,13, surveillance,0.9490410255706181
67,45247,13, gouvernement,0.9999990553930619
68,50134,13, surroundings,0.6742308347122029
69,50845,13, unemployment,0.8232654077842924
70,67075,13, généralement,0.9999163287002034
71,67741,13, actuellement,0.902796608163611
72,67971,13, commentaires,0.9728369101564814
73,69073,13, parfaitement,0.6793472492778115
74,70827,13, utilisateurs,0.9999947501026437
75,84931,13, Entrepreneur,0.9424194172173037
76,88638,13, présentation,0.9517094891129224
77,91164,13, unexpectedly,0.8232654077842924
78,91506,13, certainement,0.621497990489962
79,97355,13, propriétaire,0.9999999997217511
80,99172,13, particuliers,0.606151928801777
81,109397,13, électronique,0.9999999898219903
82,110566,13, conséquences,0.6585238881496294
83,110918,13, scientifique,0.9948155016015681
84,113320,13, fournisseurs,0.994542470330467
85,118970,13, informatique,0.9997925817300272
86,119756,13, possibilités,0.9902352536552126
87,122188,13, anniversaire,0.5325709124695399
88,130690,13, travailleurs,0.9999870532171368
89,136122,13, représentant,0.9517094891129224
90,138959,13, statistiques,0.9997925817300272
91,139403,13, spécialistes,0.9999988927601455
92,139867,13, personnalité,0.9999231350229815
93,140987,13, spécialement,0.9999983239661293
94,141019,13, documentaire,0.9728369101564814
95,141460,13, traditionnel,0.9054653679400687
96,142239,13, alimentaires,0.9965898861704657
97,145109,13, exceptionnel,0.9054653679400687
98,151257,13,’informations,0.7987813154375283
99,153721,13,’enseignement,0.9898971357567613
100,154070,13, bibliothèque,0.8986072297622979
