Rank,Encoding,Word Length,Word,Language Score
1,176291,16, caratteristiche,0.8469023543159937
2,157157,15, professionelle,0.9410793284145783
3,186795,15, collaborazione,0.999999960041578
4,195105,15, traditionellen,0.7411000585668559
5,196642,15, internazionale,0.9996048538588489
6,128732,14, cancellations,0.5119331187386672
7,130181,14, transitioning,0.7141604697592668
8,157771,14, commissioning,0.7141604697592668
9,162824,14, miscellaneous,0.9774258452405126
10,177834,14,’apprentissage,0.5091837814352069
11,194558,14, traditionelle,0.9410793284145783
12,15862,13, installation,0.7387950162373812
13,33815,13, cancellation,0.8642755360670696
14,37514,13, conditioning,0.7141604697592668
15,44780,13, appreciation,0.6866115198869156
16,49078,13, Installation,0.7387950162373812
17,64246,13, Cancellation,0.8642755360670696
18,70116,13, specializing,0.5081286675761381
19,77976,13, deliberately,0.5431591423296869
20,79989,13, Conditioning,0.7141604697592668
21,99854,13, informazioni,0.9999995243089216
22,113825,13, aggressively,0.5863399779362534
23,116139,13, personnelles,0.5486682760055989
24,117931,13, convocatoria,0.6533571498629202
25,117961,13, illumination,0.5167013089722701
26,130624,13, aprendizagem,0.7754481790012079
27,130807,13,’installation,0.9903944015718977
28,134807,13,'installation,0.7387950162373812
29,134914,13, initializing,0.5081286675761381
30,144537,13, Illustration,0.5297281732214969
31,158779,13, communicator,0.6533571498629202
32,161095,13, commentators,0.7220074810930972
33,162114,13, essentielles,0.6951004256115296
34,162874,13, photovoltaic,0.737644471240776
35,163972,13, direttamente,0.5278432493403176
36,169631,13, disposizione,0.9999978919968612
37,171971,13, illuminating,0.5167013089722701
38,175573,13, receptionist,0.7141604697592668
39,182329,13, appreciative,0.6866115198869156
40,185189,13, provisioning,0.7141604697592668
41,189550,13, ilinniartits,0.9307528365199955
42,193487,13,-conditioning,0.7141604697592668
43,197759,13, dictatorship,0.6038393981887302
44,198106,13, appreciating,0.6866115198869156
45,198739,13, Appreciation,0.6866115198869156
46,43976,12, functioning,0.7141604697592668
47,55767,12, positioning,0.7141604697592668
48,61009,12, crescimento,0.8145255464826923
49,61330,12,installation,0.7387950162373812
50,70914,12, questioning,0.8134971371121298
51,76872,12, diretamente,0.5227600377951928
52,79396,12, recognizing,0.9167166930157317
53,83533,12, degradation,0.5072598243309758
54,86459,12,Cancellation,0.8642755360670696
55,86826,12,Installation,0.7387950162373812
56,93321,12, aggregation,0.5863399779362534
57,103918,12, soprattutto,0.7842401230991566
58,105067,12, particolare,0.9977281018939604
59,108554,12, diariamente,0.5856126708872704
60,110346,12, Illustrator,0.5297281732214969
61,115578,12, possibilità,0.8305335127734905
62,129357,12, personnelle,0.5486682760055989
63,138992,12, dimensiones,0.6240692277352781
64,141042,12,conditioning,0.7141604697592668
65,152272,12, trattamento,0.9915287903983486
66,152600,12, scalability,0.686551583606039
67,154572,12, essentielle,0.6951004256115296
68,157150,12, checkpoints,0.5635284676169806
69,158101,12, appreciates,0.6866115198869156
70,158445,12,Initializing,0.5081286675761381
71,159532,12, conseguimos,0.6031058689822987
72,161175,12, commentator,0.7220074810930972
73,173947,12, riferimento,0.9148968138997605
74,178061,12, facilitator,0.7220074810930972
75,180033,12, customizing,0.5081286675761381
76,194135,12, Sagittarius,0.6799746642354468
77,198258,12, mesmerizing,0.5081286675761381
78,198911,12, criticizing,0.561170474018403
79,16866,11, appreciate,0.6866115198869156
80,34171,11,ancellation,0.8642755360670696
81,36400,11, aggressive,0.5863399779362534
82,47367,11, indicators,0.6533571498629202
83,51078,11, organizing,0.5081286675761381
84,61092,11, permettant,0.748381650991022
85,65264,11, checkpoint,0.5635284676169806
86,66950,11, essentials,0.6951004256115296
87,83447,11, ultrasound,0.7304982639266283
88,83766,11, mentioning,0.7141604697592668
89,91785,11, adipiscing,0.6381565327314216
90,92910,11, Campeonato,0.6766718220643262
91,96495,11, aggression,0.5863399779362534
92,96818,11, deliberate,0.5431591423296869
93,98524,11, campeonato,0.6766718220643262
94,102328,11, optimizing,0.5081286675761381
95,108187,11, aggregates,0.5863399779362534
96,111215,11, minimizing,0.5081286675761381
97,116947,11, staggering,0.5863399779362534
98,122347,11, photovolta,0.737644471240776
99,130999,11, maximizing,0.5081286675761381
100,132402,11, ultrasonic,0.7304982639266283
