Rank,Encoding,Word Length,Word,Language Score
1,132622,18, responsabilidades,0.7926750772203986
2,74639,17, responsabilidade,0.7638209409853958
3,37784,16, desenvolvimento,0.7635372919305444
4,130882,16, malheureusement,0.5896406206442819
5,152939,16, disponibilidade,0.7452344568886649
6,96721,15, acompanhamento,0.9873247287395752
7,107512,15, internacionais,0.5113209600625425
8,112820,15, circunstancias,0.5180665937315531
9,125866,15, possibilidades,0.7777395329293033
10,136493,15, especializados,0.7255678983610134
11,187885,15, empreendimento,0.8771322510632243
12,189616,15, cuidadosamente,0.6824764175126932
13,194060,15, personalizados,0.7803726972762908
14,55451,14, oportunidades,0.5965750490622944
15,65267,14, possibilidade,0.7452344568886649
16,82024,14, posibilidades,0.7777395329293033
17,84118,14, trabalhadores,0.9999636924255929
18,93265,14, administração,0.9999999999674275
19,104825,14, universidades,0.7777395329293033
20,111979,14, Administração,0.9999999999674275
21,127427,14, especializado,0.522164816622238
22,128515,14, classificação,0.9999999999505073
23,131899,14, personalizado,0.601484291035181
24,139513,14, acompanhantes,0.9952598089544691
25,140809,14, identificação,0.9999999999505073
26,143643,14, personalidade,0.7452344568886649
27,148096,14, transformação,0.9999999996354472
28,161998,14, produtividade,0.8281832436948818
29,163530,14, implementação,0.9999999999505073
30,165197,14, consequências,0.9999564189280327
31,167445,14, perfeitamente,0.6510177762779044
32,172068,14, interpretação,0.9999999999505073
33,173645,14, gerenciamento,0.622630950501005
34,174742,14, classificados,0.6580169990375857
35,174907,14, supermercados,0.6073581300013561
36,175167,14, productividad,0.5217359865570955
37,177684,14, representação,0.9999999999505073
38,188058,14, apresentações,0.9999999998935728
39,197497,14, manifestações,0.9999999998935728
40,51512,13, Universidade,0.7452344568886649
41,57757,13, oportunidade,0.557588570902524
42,60825,13, participação,0.999999999999578
43,73212,13, necessidades,0.7912359961942805
44,82218,13, apresentação,0.9999999999505073
45,83071,13, funcionários,0.9993410446321506
46,86020,13, enfermedades,0.7047319941789169
47,87961,13, instituições,0.99999999994895
48,89827,13, enhancements,0.5386941436538801
49,100134,13, experiências,0.9999564189280327
50,107929,13, distribuição,0.9999999999762809
51,116441,13, investigação,0.9999999999889877
52,123056,13, Constituição,0.9999999999762809
53,126562,13, organizações,0.9999999998935728
54,128077,13, considerados,0.6558354196133642
55,128238,13, compartilhar,0.8341875290571165
56,132981,13, tradicionais,0.6685792924060792
57,137777,13, propriedades,0.9863020258823268
58,153865,13, concentração,0.9999999999674275
59,154925,13, inteligência,0.9741777525129985
60,160180,13, criatividade,0.8281832436948818
61,162979,13, continuidade,0.7509579379723241
62,166158,13, contribuição,0.9999999999762809
63,167273,13, apresentados,0.6476732767819349
64,169118,13, acompanhante,0.9630691464594735
65,171327,13, universidade,0.7452344568886649
66,173809,13, certificados,0.6580169990375857
67,176630,13, consideração,0.9999999999674275
68,176903,13, configuração,0.9999999999674275
69,181184,13, consideradas,0.5063168559642651
70,188177,13, empreendedor,0.7619014822730645
71,190871,13, estabilidade,0.6643427363414615
72,192464,13, manifestação,0.9999999999505073
73,195313,13, fiscalização,0.9999999999990486
74,195772,13, pellentesque,0.8949587806469329
75,196396,13, documentação,0.9999999999505073
76,197956,13, competências,0.9999564189280327
77,198231,13, determinação,0.9999999999981174
78,199604,13, consequência,0.8097164571230538
79,27753,12, enhancement,0.5386941436538801
80,28533,12, informações,0.9999999992161123
81,33180,12, actividades,0.8516687768155571
82,41978,12, experiência,0.8097164571230538
83,47847,12, necesidades,0.7912359961942805
84,48276,12, autoridades,0.8871348827563799
85,52488,12, necessidade,0.7607785727720643
86,63586,12, comunicação,0.9999999999505073
87,63869,12, organização,0.9999999999505073
88,64100,12, habilidades,0.5959749216442707
89,65007,12, comentários,0.9372849190017744
90,65150,12, comunidades,0.7284279912222268
91,92299,12, propriedade,0.9819001809721893
92,93263,12, instituição,0.9999999999762809
93,94070,12, alimentação,0.9999999999963998
94,96907,12, hoeveelheid,0.9586381530598832
95,98358,12, programação,0.9999999996354472
96,103541,12, localização,0.9999999999864846
97,106959,12, consciência,0.9973023334940396
98,107080,12, resistência,0.846457957221734
99,107348,12, capacidades,0.8327720903067358
100,115262,12, recuperação,0.9999999999931956
