Rank,Encoding,Word Length,Word,Language Score
1,68263,17, cryptocurrencies,0.8912819018639891
2,172664,17, establecimientos,0.9998976314609994
3,187215,17, sustentabilidade,0.7311025865266098
4,37732,16, características,0.7815884527810651
5,70313,16, responsabilidad,0.5681328535974502
6,80919,16, internacionales,0.9973028300493623
7,114311,16, establecimiento,0.9986711959865039
8,133487,16, recomendaciones,0.999253067704859
9,139191,16, investigaciones,0.9991779012902388
10,147814,16, internationales,0.5534290347054487
11,171662,16, estadounidenses,0.795955412013885
12,179419,16, funcionalidades,0.8709726152112526
13,184921,16, entretenimiento,0.8969801339051116
14,185865,16, administrativos,0.5119409142575251
15,189177,16, específicamente,0.7608805268949267
16,191732,16, acontecimientos,0.9994155667976985
17,195770,16, especificamente,0.540200755164301
18,70919,15, representantes,0.5653928889322523
19,73638,15, funcionamiento,0.9999964331510732
20,79781,15, organizaciones,0.9970009540779353
21,89399,15, relacionamento,0.9913663947228654
22,90942,15, principalement,0.5223143004269034
23,92331,15, municipalities,0.5450993649810373
24,94085,15, comportamiento,0.8765916247254744
25,95329,15, constitucional,0.8172430678738102
26,97157,15, reconocimiento,0.94400032613171
27,99713,15, almacenamiento,0.9920167313652902
28,102538,15, estadounidense,0.795955412013885
29,114385,15, investigadores,0.6795933600758718
30,114968,15, representación,0.5745741436106103
31,124792,15,Características,0.7815884527810651
32,127676,15, administrativo,0.5119409142575251
33,128653,15, procedimientos,0.9993899263544718
34,140769,15, disponibilidad,0.5844613054714384
35,145073,15, interpretación,0.5745741436106103
36,148678,15, implementación,0.5745741436106103
37,157009,15, Constitucional,0.8172430678738102
38,162895,15, estacionamento,0.9874782811817453
39,176554,15, consentimiento,0.94400032613171
40,178891,15, comunicaciones,0.9989122143804994
41,186905,15, Administrativo,0.5119409142575251
42,190675,15, conversaciones,0.999253067704859
43,194725,15, modificaciones,0.9989122143804994
44,195565,15, acontecimentos,0.5912900733454542
45,195953,15, proporcionando,0.8172430678738102
46,26656,14, participation,0.6083361438474677
47,28016,14, internacional,0.8618899821400284
48,31194,14, participating,0.6083361438474677
49,42735,14, Internacional,0.8618899821400284
50,43096,14, investigación,0.8296723955737157
51,47395,14, profesionales,0.5534290347054487
52,54299,14, participantes,0.8986734027197752
53,57378,14, participación,0.6817984271159597
54,70108,14, instalaciones,0.9992907029630597
55,74450,14, mantenimiento,0.9999000289592962
56,76317,14, instituciones,0.9987452502858343
57,78956,14, conocimientos,0.9994155667976985
58,83704,14, institucional,0.8172430678738102
59,88580,14, funcionamento,0.973596735069217
60,92344,14, procedimiento,0.9784766901925426
61,93648,14, pronunciation,0.6473164438441175
62,96764,14, investimentos,0.5912900733454542
63,99989,14, colaboradores,0.5189940439322818
64,101415,14, beneficiaries,0.5888184496543231
65,101716,14, consecuencias,0.9987425912244814
66,105748,14, entrenamiento,0.9213438181516181
67,114984,14, procesamiento,0.9950758528170395
68,117515,14, conhecimentos,0.5912900733454542
69,119072,14, tradicionales,0.9986188463493737
70,125343,14, declaraciones,0.99988266258157
71,127791,14, administrador,0.5561438391501282
72,129933,14, significativo,0.5119409142575251
73,130957,14, Participation,0.6083361438474677
74,131521,14, fundamentales,0.5303830431738152
75,132190,14, documentación,0.5745741436106103
76,132736,14, instrucciones,0.9965707981561627
77,135606,14, retrospective,0.5589028822813952
78,140756,14, acondicionado,0.9837326531735934
79,144062,14, beneficiation,0.5342367459944078
80,145419,14, Investigación,0.8296723955737157
81,146059,14, departamentos,0.6731735942299621
82,148380,14, transferencia,0.9092617596354244
83,150100,14, independencia,0.8639369958175439
84,152146,14, interessantes,0.5653928889322523
85,158146,14, socioeconomic,0.6312619715080876
86,160753,14, publicaciones,0.9989122143804994
87,168921,14, pesquisadores,0.5429999398963119
88,174674,14, contaminación,0.990913068646344
89,178890,14, restricciones,0.9965707981561627
90,182813,14, transparencia,0.9092617596354244
91,190487,14, Municipalidad,0.7893490594274767
92,17135,13, participants,0.6657560974286096
93,29533,13, experiencing,0.8216427566518866
94,44543,13, dependencies,0.9343057043883979
95,55196,13, conocimiento,0.94400032613171
96,56846,13, trabajadores,0.9997313245964787
97,58606,13, relacionados,0.9951967843430638
98,59031,13, herramientas,0.9766858436171106
99,59310,13, dispositivos,0.5119409142575251
100,61065,13, equipamentos,0.5912900733454542
